,CV Accuracy (mean),CV Accuracy (std),CV F1-macro (mean),CV F1-macro (std)
Logistic Regression,0.9411882846118329,0.0021550738790572744,0.9408797832484781,0.0020908001208423273
Naive Bayes,0.6517037458888025,0.024189068022869752,0.6400027838151228,0.030581148427919223
K-NN (k=7),0.8465135713788638,0.0031743851995642072,0.8462875173714275,0.0031023436448647597
SVM (RBF),0.9574645210561752,0.0013493502486859891,0.9572766448266234,0.0013173293135051137
Decision Tree,0.9829655623428926,0.0012423429586416635,0.9828823357956352,0.0012359128934122238
