author_username,avg_play_count,avg_engagement,avg_likes,avg_shares,avg_comments,avg_hashtags,avg_duration,avg_posting_hour,video_count,category,tier
.benbatmanim,10604.657458563535,0.033881458563535916,179.6353591160221,15.353591160220995,9.80110497237569,4.828729281767956,18.54696132596685,11.12707182320442,181,fitness_health,2
1453harunnn,364907.19252548134,0.03338307472253681,14535.2355605889,296.86296715741787,120.87655719139298,0.0033975084937712344,43.95696489241223,13.165345413363534,883,fitness_health,1
_tolgahansimsek_,75628.71428571429,0.021005938775510203,2743.6530612244896,167.0612244897959,46.95918367346939,3.877551020408163,32.42857142857143,11.693877551020408,49,travel,2
a.stray.bulut,179326.76763990268,0.06667318575425789,11929.503649635037,273.485401459854,112.37591240875912,2.546228710462287,22.248175182481752,12.635036496350365,822,fitness_health,1
adabuyuk,365106.08108108107,0.03411656756756757,10882.331081081082,439.52702702702703,102.23648648648648,2.8378378378378377,54.99324324324324,14.054054054054054,148,gaming,1
adagulsoy,741317.9913978495,0.024888154838709677,16524.68817204301,1850.774193548387,95.33118279569892,0.26021505376344084,21.883870967741935,15.23225806451613,465,food_beverage,1
ademhocaileturkce,8669.104812129202,0.02214256888595913,200.62755438365195,17.488464073829928,1.4765985497692815,9.058009228740936,52.14771061305208,14.03295978905735,1517,education,1
agirsaglam_fitness,99185.7417721519,0.03140441010126582,3117.6810126582277,136.49620253164557,22.835443037974684,1.4835443037974683,53.210126582278484,14.678481012658228,395,fitness_health,1
aleynabeyazgul,2519540.1028277637,0.04955802820051413,72684.86632390745,1658.2185089974294,354.1002570694087,0.8431876606683805,37.20565552699229,14.858611825192803,389,lifestyle,0
alisasezenseve,1674879.6909492274,0.04340915231788079,67583.05077262693,1143.3156732891832,327.4790286975717,0.1479028697571744,23.055187637969095,13.626931567328919,453,entertainment,0
amazonicee,35397.871369294604,0.021394850622406637,737.149377593361,19.244813278008298,19.58091286307054,1.2365145228215768,18.232365145228215,13.742738589211617,241,travel,1
andmcetin,213775.09433962265,0.01060925283018868,2153.8981132075473,234.30188679245282,32.62641509433962,2.890566037735849,60.426415094339625,14.622641509433961,265,business_finance,2
ardabuild,448021.52875175315,0.03145317461430575,12309.797335203366,717.2461430575036,81.34291725105189,4.157082748948107,36.849929873772794,17.302244039270686,1426,fitness_health,1
aslan.dovusuyor,132961.83137254903,0.026811501960784315,3172.8392156862747,95.85098039215686,49.54509803921569,20.392156862745097,48.568627450980394,13.72156862745098,255,fitness_health,2
atakanozyurt,1700146.108786611,0.047966920502092045,77918.79916317992,2591.6610878661086,392.8451882845188,0.3389121338912134,19.389121338912133,14.615062761506277,239,entertainment,0
aybukeasar,217953.06666666668,0.013319241666666667,3352.9708333333333,343.03541666666666,23.839583333333334,5.114583333333333,61.74791666666667,15.214583333333334,480,food_beverage,1
